Track Name,Artist Name,Release Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,Popularity
Alice,Lady Gaga,2020.0,0.723,0.88,11.0,-4.287,0.0,0.038,0.00334,0.0179,0.0632,0.323,123.036,2.96,60
Alive,Big Daddy Weave,2019.0,0.515,0.782,0.0,-5.958,1.0,0.0416,9.19e-05,0.0,0.0893,0.398,146.091,3.440183333333333,48
All About Tonight,Pixie Lott,2011.0,0.637,0.804,2.0,-6.141,1.0,0.0448,0.207,0.0,0.115,0.732,129.261,3.102883333333333,53
All American Nightmare,Hinder,2010.0,0.47,0.948,10.0,-3.708,1.0,0.0539,0.000773,0.000373,0.0916,0.716,82.491,3.2908833333333334,59
All Day,Kanye West,2015.0,0.861,0.651,9.0,-4.718,0.0,0.111,0.0739,0.0,0.211,0.421,122.985,5.181783333333334,63
All I Do Is Win,DJ Khaled,2010.0,0.545,0.781,10.0,-3.616,1.0,0.185,0.0139,0.0,0.161,0.277,150.097,3.8751166666666665,71
All I Need,The-Dream,2017.0,0.558,0.312,7.0,-14.516,1.0,0.0291,0.231,0.928,0.198,0.472,99.946,3.27,0
All I Want,Olivia Rodrigo,2019.0,0.376,0.43,0.0,-6.585,0.0,0.0328,0.0902,0.0,0.0912,0.129,77.599,2.9553833333333333,79
All I Want For Christmas Is New Year's Day,Hurts,2019.0,0.55,0.701,0.0,-5.911,1.0,0.0319,0.782,1.14e-05,0.386,0.115,129.048,4.562883333333334,51
All I Want Is You,Justin Bieber,2011.0,0.575,0.911,9.0,-5.318,0.0,0.0639,0.306,0.0,0.434,0.407,150.001,4.00555,74
All In,Lil Baby,2020.0,0.837,0.663,11.0,-6.434,1.0,0.334,0.0762,0.0,0.0941,0.293,95.081,2.6005333333333334,59
All My Friends Are Insects,Weezer,2009.0,0.517,0.86,4.0,-6.434,1.0,0.037,0.000111,2.15e-06,0.682,0.688,152.269,1.38755,29
All Night Long,Demi Lovato,2011.0,0.649,0.838,2.0,-4.138,0.0,0.078,0.216,0.0,0.638,0.964,139.962,3.244666666666667,37
All of Creation,MercyMe,2010.0,0.372,0.799,10.0,-5.416,1.0,0.0335,0.0147,0.0,0.11,0.503,172.05,3.9406666666666665,46
All of the Lights,Kanye West,2010.0,0.531,0.803,1.0,-3.284,1.0,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,4.99355,81
All Over Me,Josh Turner,2010.0,0.546,0.776,1.0,-7.359,1.0,0.0352,0.403,0.00633,0.193,0.888,169.847,3.324883333333333,45
All Signs Point to Lauderdale,A Day to Remember,2010.0,0.425,0.983,10.0,-3.437,1.0,0.114,0.000263,0.0,0.114,0.513,149.95,3.2866666666666666,68
All the Lovers,Kylie Minogue,2010.0,0.599,0.721,0.0,-6.212,1.0,0.0382,0.00285,0.164,0.115,0.512,120.048,3.3237833333333335,57
All the Pretty Things,Tenth Avenue North,2010.0,0.545,0.737,5.0,-6.386,1.0,0.0283,0.00389,0.0,0.288,0.246,119.981,4.32955,24
All The Way Down,Little Big Town,2010.0,0.66,0.804,11.0,-4.872,1.0,0.0343,0.0199,2.5e-06,0.349,0.781,120.002,3.1486666666666667,17
All the Women I Am,Reba McEntire,2010.0,0.644,0.881,7.0,-3.785,0.0,0.0399,0.197,0.0,0.326,0.6,96.106,4.596666666666667,25
All These Strangers,Elvis Costello,2010.0,0.417,0.225,7.0,-12.542,1.0,0.0321,0.863,0.0,0.344,0.25,129.363,5.89755,3
All Time Low,Jon Bellion,2016.0,0.617,0.567,0.0,-4.188,1.0,0.0828,0.0584,0.0,0.0933,0.505,90.246,3.626716666666667,67
All We Make Is Entertainment,Manic Street Preachers,2010.0,0.539,0.918,4.0,-4.659,1.0,0.0475,0.000123,0.000934,0.191,0.585,116.948,4.233783333333333,14
All You Need Is Now,Duran Duran,2011.0,0.627,0.919,0.0,-4.428,0.0,0.0309,0.0295,3.16e-05,0.917,0.83,121.97,4.564883333333333,27
Alley Cats,Hot Chip,2010.0,0.734,0.526,1.0,-8.086,1.0,0.0492,0.465,0.000251,0.11,0.592,125.936,5.330316666666667,33
Almost Alright,Blake Shelton,2010.0,0.503,0.869,7.0,-3.507,1.0,0.0708,0.0481,0.0,0.158,0.761,165.963,3.11,16
Always Loved a Film,Underworld,2010.0,0.687,0.711,8.0,-7.91,1.0,0.0396,0.00292,0.0296,0.0425,0.608,130.006,6.87845,37
Ambitions,Joe McElderry,2010.0,0.666,0.806,6.0,-6.618,1.0,0.0329,0.0193,0.0,0.173,0.409,127.034,2.919783333333333,28
Ambling Alp,Yeasayer,2010.0,0.592,0.866,1.0,-6.444,0.0,0.0782,0.00827,3.55e-05,0.15,0.393,108.038,3.924,40
America,London Grammar,2021.0,0.495,0.306,0.0,-9.481,1.0,0.0272,0.857,9.62e-05,0.0562,0.145,93.129,4.087716666666667,36
American Daughters,Sarah Buxton,2010.0,0.487,0.715,0.0,-4.263,1.0,0.0324,0.252,0.0,0.169,0.324,132.394,3.7882166666666666,12
American Honey,Lady A,2010.0,0.588,0.684,1.0,-5.154,1.0,0.0288,0.508,0.0,0.141,0.121,85.997,3.7477833333333335,65
