danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.735,0.636,10,-5.529,1,0.0241,0.28,1.31e-06,0.216,0.429,98.011,audio_features,3RxItqrYLiA92dsLyDaWNt,spotify:track:3RxItqrYLiA92dsLyDaWNt,https://api.spotify.com/v1/tracks/3RxItqrYLiA92dsLyDaWNt,https://api.spotify.com/v1/audio-analysis/3RxItqrYLiA92dsLyDaWNt,207213,4
0.536,0.65,2,-5.603,1,0.0337,0.282,1.16e-06,0.0876,0.288,147.93,audio_features,5FIp4LrsffxiHLhmmpCbCx,spotify:track:5FIp4LrsffxiHLhmmpCbCx,https://api.spotify.com/v1/tracks/5FIp4LrsffxiHLhmmpCbCx,https://api.spotify.com/v1/audio-analysis/5FIp4LrsffxiHLhmmpCbCx,301987,4
0.821,0.64,8,-8.864,1,0.0289,0.323,0.0,0.167,0.954,120.983,audio_features,3QwdvrKY66GppDxOirCm0i,spotify:track:3QwdvrKY66GppDxOirCm0i,https://api.spotify.com/v1/tracks/3QwdvrKY66GppDxOirCm0i,https://api.spotify.com/v1/audio-analysis/3QwdvrKY66GppDxOirCm0i,226720,4
0.589,0.868,0,-4.956,1,0.0713,0.0808,0.0,0.192,0.48,80.048,audio_features,2LWkL3kDIYuC1ajb3s6s5J,spotify:track:2LWkL3kDIYuC1ajb3s6s5J,https://api.spotify.com/v1/tracks/2LWkL3kDIYuC1ajb3s6s5J,https://api.spotify.com/v1/audio-analysis/2LWkL3kDIYuC1ajb3s6s5J,199573,4
0.569,0.798,8,-5.907,1,0.0332,0.0384,0.0,0.15,0.637,142.016,audio_features,43pEbIGnCIeTWcnlwY9VT1,spotify:track:43pEbIGnCIeTWcnlwY9VT1,https://api.spotify.com/v1/tracks/43pEbIGnCIeTWcnlwY9VT1,https://api.spotify.com/v1/audio-analysis/43pEbIGnCIeTWcnlwY9VT1,207053,4
0.312,0.832,11,-3.882,0,0.0365,5.12e-05,0.00133,0.148,0.33,133.708,audio_features,1gg2pjLIkcxSnNfGORJ0u5,spotify:track:1gg2pjLIkcxSnNfGORJ0u5,https://api.spotify.com/v1/tracks/1gg2pjLIkcxSnNfGORJ0u5,https://api.spotify.com/v1/audio-analysis/1gg2pjLIkcxSnNfGORJ0u5,306467,4
0.157,0.802,4,-5.384,1,0.0548,0.244,0.075,0.208,0.17,163.596,audio_features,5WdHBxKaZNDIbu9NLdne7n,spotify:track:5WdHBxKaZNDIbu9NLdne7n,https://api.spotify.com/v1/tracks/5WdHBxKaZNDIbu9NLdne7n,https://api.spotify.com/v1/audio-analysis/5WdHBxKaZNDIbu9NLdne7n,533893,4
0.564,0.363,9,-9.461,0,0.0372,0.694,0.000311,0.188,0.629,138.833,audio_features,4ik5qvzbaBJYaspm7VwBL4,spotify:track:4ik5qvzbaBJYaspm7VwBL4,https://api.spotify.com/v1/tracks/4ik5qvzbaBJYaspm7VwBL4,https://api.spotify.com/v1/audio-analysis/4ik5qvzbaBJYaspm7VwBL4,213413,4
0.373,0.903,10,-4.49,1,0.083,0.00077,5.86e-06,0.244,0.43,109.121,audio_features,4o6k1XHlrIZay8v1m5VU83,spotify:track:4o6k1XHlrIZay8v1m5VU83,https://api.spotify.com/v1/tracks/4o6k1XHlrIZay8v1m5VU83,https://api.spotify.com/v1/audio-analysis/4o6k1XHlrIZay8v1m5VU83,263080,3
0.629,0.806,2,-5.264,0,0.0442,0.0102,1.72e-05,0.112,0.409,119.966,audio_features,1r0XfrhdG6bsiS4oe1QM96,spotify:track:1r0XfrhdG6bsiS4oe1QM96,https://api.spotify.com/v1/tracks/1r0XfrhdG6bsiS4oe1QM96,https://api.spotify.com/v1/audio-analysis/1r0XfrhdG6bsiS4oe1QM96,234333,4
